sample_stamp_sec,sample_stamp_nanosec,actual_pos_stamp_sec,actual_pos_stamp_nanosec,actual_pos_x,actual_pos_y,actual_pos_z,target_pos_stamp_sec,target_pos_stamp_nanosec,target_pos_x,target_pos_y,target_pos_z,distance,distance_sum,hdg,hdg_target,hdg_distance,hdg_distance_total
1789313319,695856975,1789313319,659460763,19.898080825805664,14.075453758239746,57.49559783935547,1789313319,693659623,28.21394656294251,12.343791663327018,75.75943347792497,20.142492,20.142492,97.67375680609706,206.97943115234375,109.30567434624669,109.30567434624669
1789313320,195824908,1789313320,155701182,20.896486282348633,13.350459098815918,58.485816955566406,1789313320,192337870,29.031881943685704,12.580470091332757,78.27083908269294,21.406182,41.548674,97.82771610017829,208.23443603515625,110.40671993497796,219.71239428122465
1789313320,695844316,1789313320,656832232,21.898012161254883,12.885125160217285,59.479522705078125,1789313320,692335773,29.85144675620117,12.818332482069671,80.77193179858942,22.729458,64.278132,97.8385684169958,209.41531372070312,111.57674530370733,331.28913958493195
1789313321,195836658,1789313321,159347037,22.896936416625977,12.648155212402344,60.47547149658203,1789313321,192161857,30.670107407986194,13.05667425279254,83.25359335520137,24.071392,88.349524,97.80399314564355,210.51922607421875,112.7152329285752,444.0043725135072
1789313321,696185517,1789313321,660088739,23.89948844909668,12.591629028320312,61.47490692138672,1789313321,692173076,31.48836035207907,13.295668317430987,85.71601021370904,25.410977,113.760501,97.74512118386627,211.5480499267578,113.80292874289154,557.8073012563987
1789313322,195846429,1789313322,160297502,24.90184783935547,12.6654052734375,62.47358703613281,1789313322,192168969,32.30579687967017,13.535224083689421,88.15664375602984,26.743120,140.503621,97.70055334575831,212.50250244140625,114.80194909564794,672.6092503520466
1789313322,695910434,1789313322,656484750,25.90606689453125,12.826691627502441,63.47211456298828,1789313322,692167421,33.12234898728187,13.775350008828696,90.57401206555406,28.062208,168.565829,97.66099118253827,213.38392639160156,115.7229352090633,788.3321855611099
1789313323,195895591,1789313323,159387703,26.907732009887695,13.043508529663086,64.46954345703125,1789313323,192156781,33.93792189211129,14.016046650861767,92.9665763765066,29.367504,197.933333,97.62245098637287,214.1936798095703,116.57122882319744,904.9034143843073
1789313323,695855434,1789313323,656353386,27.9132137298584,13.290462493896484,65.4744873046875,1789313323,692160167,34.752454360796236,14.257324428218439,95.33292035243142,30.646958,228.580291,97.58821722447911,214.93331909179688,117.34510186731777,1022.2485162516251
1789313324,195820490,1789313324,160032029,28.911865234375,13.551112174987793,66.47708892822266,1789313324,193032042,35.56724898061955,14.499600124545132,97.67555034189729,31.914538,260.494829,97.56468978410933,215.60552978515625,118.04084000104692,1140.289356252672
1789313324,695842739,1789313324,657461932,29.912172317504883,13.813138008117676,67.47439575195312,1789313324,692490182,36.378515952312625,14.741773873721698,99.9824224169832,33.157922,293.652751,97.55224517944158,216.2090606689453,118.65681548950373,1258.9461717421757
1789313325,195796483,1789313325,158523265,30.911956787109375,14.069893836975098,68.4677734375,1789313325,193002144,37.1901634720962,14.985039894662997,102.26351308025042,34.386122,328.038873,97.55608972217064,216.74874877929688,119.19265905712624,1378.138830799302
1789313325,695829617,1789313325,660908216,31.919410705566406,14.3218412399292,69.46888732910156,1789313325,692792444,37.99923789258017,15.228542473466568,104.50935893123948,35.575568,363.614441,97.55637829766309,217.22454833984375,119.66817004218066,1497.8070008414827
1789313326,195855918,1789313326,160571953,32.922454833984375,14.567275047302246,70.46874237060547,1789313326,192114229,38.80606321066304,15.472404076259167,106.71985359736956,36.736619,400.351060,97.55704936374904,217.63885498046875,120.0818056167197,1617.8888064582025
1789313326,695816762,1789313326,660497835,33.92319107055664,14.808215141296387,71.46904754638672,1789313326,692179807,39.61250671587189,15.717218562389348,108.89901042667073,37.870790,438.221850,97.55693666562772,217.99468994140625,120.43775327577853,1738.326559733981
1789313327,195963743,1789313327,156376676,34.91909408569336,15.046401023864746,72.46731567382812,1789313327,192124598,40.41708753125957,15.962567036367538,111.04172188818791,38.975019,477.196869,97.5593186941008,218.29348754882812,120.73416885472733,1859.0607285887083
1789313327,695922411,1789313327,661047151,35.921226501464844,15.284222602844238,73.47098541259766,1789313327,692112818,41.219981056507066,16.2085314303687,113.14744340122338,40.039386,517.236255,97.56590641155525,218.53756713867188,120.97166072711663,1980.032389315825
1789313328,195941684,1789313328,161731690,36.92152404785156,15.522643089294434,74.47420501708984,1789313328,192138952,42.02109617688413,16.455112847554375,115.21494044988529,41.069242,558.305498,97.56722378429141,218.72918701171875,121.16196322742734,2101.194352543252
1789313328,695772490,1789313328,657599881,37.91923141479492,15.761687278747559,75.47708892822266,1789313328,693627189,42.822636178982094,16.703023674095128,117.2487860858044,42.069041,600.374538,97.55463574565107,218.87103271484375,121.31639696919268,2222.510749512445
1789313329,195801378,1789313329,160433057,38.91267013549805,16.00206756591797,76.47620391845703,1789313329,193412080,43.61940706874188,16.95068539731387,119.2349037581179,43.027429,643.401967,97.55057178309494,218.9646759033203,121.41410412022537,2343.9248536326704
1789313329,695840345,1789313329,656390246,39.91462707519531,16.244918823242188,77.47940826416016,1789313329,692247884,44.41258050455633,17.198481103624054,121.17561560961117,43.937449,687.339416,97.57357073757764,219.01309204101562,121.43952130343799,2465.3643749361086
1789313330,195926849,1789313330,160033173,40.91556167602539,16.48866844177246,78.4754638671875,1789313330,192104556,45.20520279063973,17.447391581717717,123.07751637265653,44.818113,732.157529,97.57177695914687,219.0189971923828,121.44722023323594,2586.8115951693444
1789313330,695854524,1789313330,657121806,41.91803741455078,16.735366821289062,79.46967315673828,1789313330,692151715,45.995862431249066,17.69700716641527,124.93626593455357,45.659221,777.816750,97.56439864729596,218.98480224609375,121.42040359879779,2708.231998768142
1789313331,195852463,1789313331,158984851,42.917964935302734,16.982616424560547,80.46450805664062,1789313331,192160099,46.78410766233159,17.947214781405087,126.75000428680562,46.456697,824.273447,97.56564174172492,218.91311645507812,121.34747471335321,2829.5794734814954
1789313331,696323879,1789313331,659767119,43.915184020996094,17.23021697998047,81.46519470214844,1789313331,692144247,47.56987633249122,18.198023408144458,128.51785305358862,47.204302,871.477748,97.57209456294329,218.806640625,121.23454606205671,2950.814019543552
1789313332,195856458,1789313332,161482986,44.88740539550781,17.480070114135742,82.46845245361328,1789313332,192146167,48.35315255711254,18.449456953288866,130.2390722750434,47.905983,919.383732,97.57557710564635,218.6680450439453,121.09246793829897,3071.906487481851
1789313332,695840069,1789313332,656847556,45.8205451965332,17.728910446166992,83.4710464477539,1789313332,692535834,49.13442746788891,18.70170388788656,131.9140236336794,48.565936,967.949668,97.57863105397897,218.4999237060547,120.92129265207572,3192.827780133927
1789313333,195820842,1789313333,160450113,46.711891174316406,17.978046417236328,84.47444152832031,1789313333,192802822,49.91281757579432,18.9545092419958,133.5401514222021,49.179704,1017.129372,97.58003124275885,218.30519104003906,120.72515979728021,3313.552939931207
1789313333,695846700,1789313333,656372931,47.5682487487793,18.22865104675293,85.47594451904297,1789313333,692133862,50.68698553359101,19.207462990660353,135.11421086068657,49.745774,1066.875147,97.57931236534868,218.08702087402344,120.50770850867475,3434.060648439882
1789313334,195836928,1789313334,157296262,48.39413833618164,18.480314254760742,86.47782897949219,1789313334,192534773,51.45995595107286,19.461583184401356,136.64178630433815,50.267134,1117.142281,97.57912880401476,217.84730529785156,120.2681764938368,3554.328824933719
1789313334,695861841,1789313334,658757507,49.19635009765625,18.7324275970459,87.47769165039062,1789313334,692691019,52.22960796568921,19.716205647668048,138.1180698524266,50.740678,1167.882958,97.57829893603059,217.58944702148438,120.01114808545378,3674.3399730191727
1789313335,195926358,1789313335,161628074,49.985572814941406,18.98691177368164,88.47718048095703,1789313335,192078890,52.995061929261254,19.97106367910372,139.54104580179,51.161938,1219.044897,97.57722915765183,217.31655883789062,119.7393296802388,3794.0793026994115
1789313335,695850580,1789313335,658448102,50.76605224609375,19.24030303955078,89.4743423461914,1789313335,692197441,53.75853888735142,20.2269258460301,140.9144239706068,51.536496,1270.581392,97.5755096575283,217.0306396484375,119.4551299909092,3913.5344326903205
1789313336,195824255,1789313336,160888312,51.5435791015625,19.496868133544922,90.4741439819336,1789313336,192067882,54.51844561083777,20.483289888776426,142.23489007185458,51.855546,1322.436939,97.57362794041194,216.7350311279297,119.16140318751775,4032.6958358778384
1789313336,695830883,1789313336,658911081,52.314247131347656,19.750944137573242,91.46898651123047,1789313336,692583874,55.276107290070655,20.740634414815872,143.50434729149225,52.128983,1374.565922,97.57812391243311,216.43197631835938,118.85385240592626,4151.549688283764
1789313337,195830465,1789313337,161611106,53.077186584472656,20.004058837890625,92.46674346923828,1789313337,192133440,56.02889164191927,20.99809292090727,144.71813611375177,52.344137,1426.910059,97.5772948982226,216.12525939941406,118.54796450119146,4270.097652784955
1789313337,695930051,1789313337,692424173,55.75044631958008,20.90891456604004,95.9738998413086,1789313337,692148724,56.77898410055218,21.256439426277424,145.87960114583348,49.917509,1476.827568,97.57698241706808,215.81674194335938,118.2397595262913,4388.337412311246
1789313338,196020265,1789313338,195192619,56.47514724731445,21.15482521057129,96.97577667236328,1789313338,192777167,57.526483628033674,21.515743521511624,146.98852419008114,50.025099,1526.852666,97.63445589761281,215.5090789794922,117.87462308187938,4506.212035393126
1789313338,695846561,1789313338,688913967,56.94404983520508,21.313499450683594,97.97660827636719,1789313338,692317813,58.26877899074651,21.77512622450839,148.04093165389617,50.083974,1576.936641,97.56234190658216,215.2060089111328,117.64366700455065,4623.855702397676
1789313339,196005668,1789313339,191892145,57.31358337402344,21.43796157836914,98.97530364990234,1789313339,192112283,59.00778660077452,22.035281951947248,149.039537817212,50.096454,1627.033094,97.56599264269352,214.9093780517578,117.3433854090643,4741.199087806741
1789313339,695960424,1789313339,692952604,57.71672058105469,21.574932098388672,99.96861267089844,1789313339,692352691,59.743713685078404,22.296317302817776,149.9844362416041,50.062079,1677.095173,97.57862849265805,214.62171936035156,117.04309086769351,4858.242178674434
